title,photo,summary,published,link,category,source
Vítěz Kentucky Derby uhynul při tréninku. Jak to bylo s jeho dopingem?,https://1gr.cz/fotky/idnes/21/051/cl6/PAR8b1e8f_b32532f9cfdc4d3681c3e0c31906d9d4_0.jpg,"Kolem vítězství Medina Spirita v letošním Kentucky Derby budou asi už navždy panovat pochyby. Tříletý hřebec zkolaboval a uhynul po tréninku na dostihovém závodišti v Santa Anitě, příčinu jeho smrti určí pitva. Svěřenec trenéra Boba Bafferta měl po květnovém triumfu v prvním dostihu americké Trojkoruny pozitivní dopingový test a šetření případu stále nebylo uzavřeno.","Mon, 06 Dec 2021 19:22:00 GMT",https://www.idnes.cz/sport/ostatni/kentucky-derby-vitez-dostihy-medina-spirit-uhynuti.A211206_201625_sporty_ten#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Sport - Ostatní sporty,idnes.cz
"Každý šestý dům je špatně pojištěný. Ceny rostou, pojistka na opravu už nestačí",https://1gr.cz/fotky/idnes/21/121/cl6/LUH8fd8de_Depositphotos_315210770.jpg,"Vlastníte dům, byt, chatu či chalupu? Pak urychleně najděte smlouvu o pojištění a podívejte se, na jakou částku máte nemovitost pojištěnou. S tím, jak raketově rostou ceny nemovitostí a stavebních materiálů, rostou právě i hodnoty majetku a tisíce nemovitostí jsou v tuto chvíli podpojištěny.","Mon, 06 Dec 2021 19:00:00 GMT",https://www.idnes.cz/zpravy/domaci/pojistka-bydleni-stavba-oprava-pojistovna.A211205_213603_domaci_vapo#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Zprávy - Domácí,idnes.cz
"Sháním nakaženého, který za mě půjde na test. Lidé hledají, jak obejít omezení",https://1gr.cz/fotky/idnes/21/111/cl6/LUH8f24f2_04.jpg,"Češi vymysleli novou taktiku, jak získat potvrzení o prodělání nemoci, aniž by se nakazili. Redakce iDNES.cz narazila na několik případů, kdy lidé na internetu shánějí nakaženého člověka, který místo nich půjde na PCR test. Stačí, když například žena, která chce certifikát, sežene nějakou vrstevnici, která je nakažená. Ta s její kartičkou pojištěnce pak vyrazí na testování.","Mon, 06 Dec 2021 19:00:00 GMT",https://www.idnes.cz/zpravy/domaci/lide-shani-nakazeneho-cloveka-zaplati-jim-za-test-ziskaji-certifikat.A211201_093510_domaci_vank#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Zprávy - Domácí,idnes.cz
"Nechte dítě, ať si „narazí čumák“, bude samostatnější, radí psycholožka rodičům",https://1gr.cz/fotky/idnes/21/112/cl6/IHA8f88d9_GettyImages_1218940110.jpg,"Co provedly s žáky a studenty dlouhé měsíce online výuky? Psycholožka Zuzana Masopustová tvrdí, že nezvyklá doba nemá na děti a dospívající jen negativní dopady. Mnohé prý naopak posílila. „Největší chudáci jsou nejchytřejší děti ve třídě, protože až jednou přijdou někam, kde z nich nikdo nebude padat na zadek, tak to pro ně může být velmi drsné,“ řekla pro magazín Víkend DNES.","Mon, 06 Dec 2021 19:00:00 GMT",https://www.idnes.cz/onadnes/vztahy/masopustova-zaci-vzdelani-online-vyuka-pandemie-rodice.A211118_162733_ona-vztahy_mkop#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,OnaDnes - Vztahy,idnes.cz
PROGRAM: Házenkářky na MS zdolaly Slovenky a postoupily do další skupiny,https://1gr.cz/fotky/idnes/21/121/cl6/ROU8fe008_czehun2.jpg,"Nejprve sice prohrály s Němkami (21:31) a Maďarkami (29:32), díky vítězství nad Slovenkami (24:23) ale české házenkářky prošly na mistrovství světa ve Španělsku do další skupiny. V ní se utkají s Dánskem, Jižní Koreou a Kongem. Podívejte se na program a výsledky šampionátu.","Mon, 06 Dec 2021 18:49:00 GMT",https://www.idnes.cz/sport/hazena/ms-2021-zeny-program-vysledky-cesko.A211130_162000_hazena_ikuc#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Sport - Házená,idnes.cz
Menší balení za stejnou cenu. Japonec začal dokumentovat triky výrobců,https://1gr.cz/fotky/idnes/21/121/cl6/RIE8fd8ab_profimedia_0603018542.jpg,Zmenšující se balení jeho oblíbených sušenek a následně i menší velikost jednotlivých kousků uvnitř balení donutila Japonce jménem Masayuki Iwasu začít jednat. Založil si vlastní web a ceny výrobků a jejich gramáže poctivě dokumentuje. A především skryté zvyšování cen výrobců.,"Mon, 06 Dec 2021 18:46:00 GMT",https://www.idnes.cz/ekonomika/zahranicni/japonsko-smrskflace-mensi-baleni-stejna-cena.A211203_122303_eko-zahranicni_rie#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Ekonomika - Zahraniční,idnes.cz
To byly nervy. Házenkářky v přímém souboji o postup udolaly Slovensko,https://1gr.cz/fotky/idnes/21/121/cl6/ROU8fe008_czehun2.jpg,"České házenkářky zvítězily v závěrečném utkání základní skupiny mistrovství světa ve Španělsku nad Slovenskem 24:23 a prošly do další fáze turnaje. Nervózní souboj o postup s bývalým federálním partnerem až v závěrečné desetiminutovce, několika zákroky k tomu přispěla i brankářka Petra Kudláčková.","Mon, 06 Dec 2021 18:45:00 GMT",https://www.idnes.cz/sport/hazena/cesko-slovensko-mistrovstvi-sveta-zeny-online-zpravodajstvi.A211206_103850_hazena_tof#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Sport - Házená,idnes.cz
"Bílý dům oznámil politický bojkot zimní olympiády, Peking slibuje odvetu",https://1gr.cz/fotky/idnes/21/103/cl6/TEN8f03b0_ppptsw08_olympics_2022_0204_11.jpg,"Administrativa amerického prezidenta Joea Bidena v pondělí oznámila, že nadcházející zimní olympiády v Pekingu se nezúčastní žádní představitelé vlády Spojených států. Bílý dům to odůvodnil porušováním lidských práv v Číně. Čínské ministerstvo zahraničí v reakci pohrozilo „tvrdými protiopatřeními“.","Mon, 06 Dec 2021 18:38:00 GMT",https://www.idnes.cz/zpravy/zahranicni/cina-olympiada-zimni-2022-usa-biden-bojkot.A211206_134538_zahranicni_aha#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Zprávy - Zahraničí,idnes.cz
Švédští florbalisté deklasovali Dánsko a zajistili si čtvrtfinále,https://1gr.cz/fotky/idnes/21/121/cl6/TEN8fea9a_profimedia_0646650163.jpg,Švédští florbalisté deklasovali v závěrečném utkání základní skupiny A na mistrovství světa v Helsinkách Dánsko 15:1 a zajistili si přímý postup do čtvrtfinále ze druhého místa za Finskem.,"Mon, 06 Dec 2021 18:08:00 GMT",https://www.idnes.cz/sport/florbal/mistrovstvi-sveta-florbalistu.A211206_190833_florbal_ten#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Sport - Florbal,idnes.cz
"Na práva těhotných už sahá také Írán. Omezí potraty, hrozit má i trest smrti",https://1gr.cz/fotky/idnes/21/121/cl6/KHA8fd957_profimedia_0523290936.jpg,"Po Američankách a Polkách došlo už i na Íránky. Vláda nového konzervativního prezidenta Íránu Ebráhíma Raísího chce zpřísnit nynější podmínky potratů. Ale nejen to. Omezit se má i přístup k antikoncepci, sterilizace pak bude úplně zakázaná. Za porušení zákona mohou viníci dostat i trest smrti. Novým zákonem chce vláda zastavit stárnutí populace.","Mon, 06 Dec 2021 18:06:00 GMT",https://www.idnes.cz/zpravy/zahranicni/iran-vlada-potraty-zprisneni-ebrahim-raisi.A211203_165456_zahranicni_kha#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Zprávy - Zahraničí,idnes.cz
Režisér Šmídmajer: Kundera dodnes mluví moravským nářečím. Zůstal Čech jako poleno,https://1gr.cz/fotky/idnes/21/112/cl6/LUH8f7972_HLAVNmdmajer_mafra_Michal_Svek_3.jpg,"Do filmového světa se poprvé zapsal před třiceti lety dokumentem o Miloši Formanovi. Následovalo mnoho dalších portrétů známých osobností a také komedií, které přivedl na svět coby producent. Až posledních třináct let se Miloslav Šmídmajer věnuje převážně režii hraných filmů. Připomeňme komedie Probudím se včera, Případ mrtvého nebožtíka nebo pohádku Peklo s princeznou. Jeho posledním počinem je však opět dokument, tentokrát o Milanu Kunderovi. Co mají Kundera s Formanem společného? A o jakém filmu ještě sní?","Mon, 06 Dec 2021 18:00:00 GMT",https://www.idnes.cz/kultura/film-televize/miloslav-smidmajer-rezie-milos-forman-dokument-milan-kundera.A211112_145449_filmvideo_wes#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Kultura - Film/TV,idnes.cz
"Sníh a mráz vydrží ještě tento týden, Vánoce budou zřejmě opět na blátě",https://1gr.cz/fotky/idnes/12/011/cl6/TOP404356__MG_3055.jpg,"Nejchladnější počasí z nadcházejícího období čeká Česko tento týden, bude mrznout i sněžit. V dalších týdnech, včetně vánočních svátků, se ale zřejmě mírně oteplí. Už začátkem příštího týdne se mohou teploty přes den dostat hlavně v Čechách až na sedm stupňů nad nulou. Jinak bude závěr roku teplotně průměrný, uvedli meteorologové ve svém měsíčním výhledu.","Mon, 06 Dec 2021 17:59:00 GMT",https://www.idnes.cz/zpravy/domaci/pocasi-predpoved-chmu-meteorologove-vanoce-snih-zima.A211206_181420_domaci_pmk#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Zprávy - Domácí,idnes.cz
"STALO SE DNES: Zemanovi skončí izolace, do USA jen s čerstvým testem",https://1gr.cz/fotky/idnes/21/121/cl6/KOP8fe9b3_ZemanLangdlov.jpg,"Miloš Zeman se bude moci koncem týdne již scházet s ministry nové vlády bez skleněné bariéry, po dvou týdnech mu skončí povinnost izolace. Ještě tento týden má také vyjít vyhláška o povinnosti se očkovat na covid pro vybrané skupiny obyvatel. Do USA je nově potřeba mít negativní test na covid ne starší než jeden den.","Mon, 06 Dec 2021 17:44:00 GMT",https://www.idnes.cz/zpravy/domaci/stalo-se-covid-pandemie-cestovani-adam-vojtech-zeman-usa-myanmar.A211206_172236_domaci_hend#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Zprávy - Domácí,idnes.cz
"Gól Slavie uznán správně, brance Slovácka ruka předcházela, řekla komise",https://1gr.cz/fotky/idnes/21/121/cl6/MIN8fe968_P2021120407228.jpg,"Kontroverzní situace, v nichž v hlavní roli bylo hraní rukou, sudí v 17. kole fotbalové ligy vyřešili správně podle pravidel. Oznámila to komise rozhodčích.","Mon, 06 Dec 2021 17:43:00 GMT",https://www.idnes.cz/fotbal/prvni-liga/predseda-komise-rozhodcich-radek-prihoda-olomouc-slavia-slovacko-plzen-machalek-var-pechanec.A211206_173159_fotbal_min#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Fotbal - První liga,idnes.cz
Švédové mají v nominaci do Moskvy dva mistry světa a jednoho nováčka,https://1gr.cz/fotky/idnes/18/052/cl6/MH273420f_mma411_hockey_world_svk_swe_0512_11.jpg,Dva mistry světa z roku 2018 a jednoho nováčka zařadil do nominace na Channel One Cup v Moskvě trenér švédských hokejistů Johan Garpenlöv. Zlatou medaili v Dánsku před třemi roky získali brankář Magnus Hellberg ze Soči a útočník Jacob de la Rose z Färjestadu. Na premiéru se může těšit forvard Dmytro Timashov z celku Brynäs Gävle.,"Mon, 06 Dec 2021 17:38:00 GMT",https://www.idnes.cz/hokej/reprezentace/svedsko-moskva-channel-one-cup-nominace.A211206_174315_reprezentace_ten#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Hokej - Reprezentace,idnes.cz
